Party,DebateNo,SentenceNo,SequenceNo,Speaker,Text,Prob_Pos,NB_Sent
rep,1,0,1,KELLY,"Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio.",0.9035930663882284,pos
rep,1,1,1,KELLY,I'm Megyn Kelly...,0.4479166666666667,neg
rep,1,2,1,KELLY,(APPLAUSE),0.7222222222222221,pos
rep,1,3,1,KELLY,"... along with my co-moderators, Brett Baier and Chris Wallace.",0.9510909919200395,pos
rep,1,4,1,KELLY,Tonight...,0.5357142857142856,pos
rep,1,5,1,KELLY,(APPLAUSE),0.7222222222222221,pos
rep,1,6,1,KELLY,Nice.,0.5462962962962964,pos
rep,1,7,1,KELLY,"Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered.",0.967608009769863,pos
rep,1,8,2,BAIER,"Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party's nomination.",0.9780911337530438,pos
rep,1,9,2,BAIER,(APPLAUSE),0.7222222222222221,pos
rep,1,10,2,BAIER,"Tonight's candidates were selected based on an average of five national polls. Just a few hours ago, you heard from the candidates ranked 11th through 17. And now, the prime-time event, the top 10.",0.9277946134282342,pos
rep,1,11,3,WALLACE,"Also of note, Fox News is partnering for tonight's debate with Facebook. For the past several weeks, we've been asking you for questions for the candidates on Facebook. Nearly 6 million of you, 6 million, viewed the debate videos on our site, and more than 40,000 of you submitted questions: some of which you will hear us asking the candidates tonight.",0.9209887481928806,pos
rep,1,12,4,KELLY,As for the candidates who will be answering those questions? Here they are.,0.505525451040206,pos
rep,1,13,4,KELLY,"Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump.",0.9037393920086161,pos
rep,1,14,4,KELLY,(APPLAUSE),0.7222222222222221,pos
rep,1,15,4,KELLY,Former Florida Governor Jeb Bush.,0.7545379537953797,pos
rep,1,16,4,KELLY,(APPLAUSE),0.7222222222222221,pos
rep,1,17,4,KELLY,Wisconsin Governor Scott Walker.,0.45453750145806504,neg
rep,1,18,4,KELLY,(APPLAUSE),0.7222222222222221,pos
rep,1,19,4,KELLY,Former Arkansas Governor Mike Huckabee.,0.5075757575757578,pos
rep,1,20,4,KELLY,(APPLAUSE),0.7222222222222221,pos
rep,1,21,5,BAIER,"Neurosurgeon, Dr. Ben Carson.",0.8437499999999998,pos
rep,1,22,5,BAIER,(APPLAUSE),0.7222222222222221,pos
rep,1,23,5,BAIER,Texas Senator Ted Cruz.,0.5147561101828984,pos
rep,1,24,5,BAIER,(APPLAUSE),0.7222222222222221,pos
rep,1,25,5,BAIER,Florida Senator Marco Rubio.,0.878910614525139,pos
rep,1,26,5,BAIER,(APPLAUSE),0.7222222222222221,pos
rep,1,27,6,WALLACE,Kentucky Senator Rand Paul.,0.8535373488117669,pos
rep,1,28,6,WALLACE,(APPLAUSE),0.7222222222222221,pos
rep,1,29,6,WALLACE,New Jersey Governor Chris Christie.,0.7004679865870678,pos
rep,1,30,6,WALLACE,(APPLAUSE) And your very own governor of Ohio...,0.9098939704170665,pos
rep,1,31,6,WALLACE,(APPLAUSE),0.7222222222222221,pos
rep,1,32,6,WALLACE,... John Kasich.,0.5106157112526538,pos
rep,1,33,6,WALLACE,(APPLAUSE),0.7222222222222221,pos
rep,1,34,7,WALLACE,"Brett -- Brett, I think you would call that a home field advantage.",0.9519107910555513,pos
rep,1,35,8,BAIER,It might be. It might be. We'll see.,0.4647177419354839,neg
rep,1,36,9,(UNKNOWN),Is this in the rules? An objection's coming.,0.39082278481012633,neg
rep,1,37,10,BAIER,"It might be. The rules for tonight are simple. One minute for answers, 30 seconds for follow-ups. And if a candidate runs over, you'll hear this.",0.2877001316837596,neg
rep,1,38,10,BAIER,"Pleasant, no?",0.6702127659574468,pos
rep,1,39,10,BAIER,"We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned.",0.4975278345967996,neg
rep,1,40,10,BAIER,And while we expect them...,0.5850654881014611,pos
rep,1,41,10,BAIER,(APPLAUSE),0.7222222222222221,pos
rep,1,42,10,BAIER,"... we expect them to be enthusiastic, as you heard, we don't want to take anything away from the valuable time for the candidate. So, we're looking for somewhere between a reaction to a LeBron James dunk and the Cleveland Public Library across the street.",0.5979963830855284,pos
rep,1,43,10,BAIER,(LAUGHTER),0.375,neg
rep,1,44,10,BAIER,"Somewhere there, we'll find a balance tonight.",0.7301661290010916,pos
rep,1,45,10,BAIER,"Without further ado, let's begin.",0.17419788856221508,neg
rep,1,46,11,BAIER,"Gentlemen, we know how much you love hand-raising questions. So we promise, this is the only one tonight: the only one. Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person.",0.9870983077781945,pos
rep,1,47,11,BAIER,"Again, we're looking for you to raise your hand now -- raise your hand now if you won't make that pledge tonight.",0.7371492651695326,pos
rep,1,48,11,BAIER,Mr. Trump.,0.375,neg
rep,1,49,11,BAIER,(BOOING),0.5,pos
rep,1,50,11,BAIER,"Mr. Trump to be clear, you're standing on a Republican primary debate stage.",0.8170981725125518,pos
rep,1,51,12,TRUMP,I fully understand.,0.727410594625097,pos
rep,1,52,13,BAIER,The place where the RNC will give the nominee the nod.,0.9049671370942232,pos
rep,1,53,14,TRUMP,I fully understand.,0.727410594625097,pos
rep,1,54,15,BAIER,And that experts say an independent run would almost certainly hand the race over to Democrats and likely another Clinton.,0.9497310382461487,pos
rep,1,55,15,BAIER,You can't say tonight that you can make that pledge?,0.637432835259714,pos
rep,1,56,16,TRUMP,"I cannot say. I have to respect the person that, if it's not me, the person that wins, if I do win, and I'm leading by quite a bit, that's what I want to do. I can totally make that pledge. If I'm the nominee, I will pledge I will not run as an independent. But -- and I am discussing it with everybody, but I'm, you know, talking about a lot of leverage. We want to win, and we will win. But I want to win as the Republican. I want to run as the Republican nominee.",0.7882606330834748,pos
rep,1,57,17,BAIER,"So tonight, you can't say if another one of these...",0.5601145512602754,pos
rep,1,58,18,PAUL,This is what's wrong!,0.43589438888078413,neg
rep,1,59,19,BAIER,OK.,0.5,pos
rep,1,60,20,PAUL,"I mean, this is what's wrong. He buys and sells politicians of all stripes, he's already...",0.40809954915426505,neg
rep,1,61,21,BAIER,Dr. Paul.,0.44082840236686377,neg
rep,1,62,22,PAUL,"Hey, look, look! He's already hedging his bet on the Clintons, OK? So if he doesn't run as a Republican, maybe he supports Clinton, or maybe he runs as an independent...",0.8359180296466804,pos
rep,1,63,23,BAIER,OK.,0.5,pos
rep,1,64,24,PAUL,...but I'd say that he's already hedging his bets because he's used to buying politicians.,0.6160555256881446,pos
rep,1,65,25,TRUMP,"Well, I've given him plenty of money.",0.5743428434942071,pos
rep,1,66,26,BAIER,"Just to be clear, you can't make a -- we're gonna -- we're going to move on.",0.8101200016544535,pos
rep,1,67,26,BAIER,You're not gonna make the pledge tonight?,0.886022958250509,pos
rep,1,68,27,TRUMP,I will not make the pledge at this time.,0.6562098438401022,pos
rep,1,69,28,BAIER,OK. Alright.,0.36666666666666664,neg
rep,1,70,28,BAIER,"(LAUGHTER, BOOING)",0.375,neg
rep,1,71,29,KELLY,"Gentlemen, our first round of questions is on the subject of electability in the general election, and we start tonight with you, Dr. Carson.",0.899993532335478,pos
rep,1,72,29,KELLY,"You are a successful neurosurgeon, but you admit that you have had to study up on foreign policy, saying there's a lot to learn.",0.9379863684354184,pos
