"SentenceNo","Score"
"0","1"
"1","1"
"2","3"
"3","1"
"4","1"
"5","3"
"6","3"
"7","3"
"8","5"
"9","2"
"10","1"
"11","1"
"12","4"
"13","1"
"14","1"
"15","5"
"16","2"
"17","3"
"18","3"
"19","1"
"20","1"
"21","5"
"22","3"
"23","1"
"24","1"
"25","1"
"26","2"
"27","2"
"28","1"
"29","1"
"30","1"
"31","1"
"32","3"
"33","1"
"34","1"
"35","2"
"36","1"
"37","1"
"38","3"
"39","5"
"40","1"
"41","1"
"42","3"
"43","3"
"44","1"
"45","1"
"46","1"
"47","5"
"48","2"
"49","1"
"50","1"
"51","1"
"52","1"
"53","5"
"54","2"
"55","3"
"56","1"
"57","2"
"58","3"
"59","5"
"60","1"
"61","1"
"62","2"
"63","3"
"64","2"
"65","1"
"66","1"
"67","3"
"68","1"
"69","1"
"70","2"
"71","3"
"72","5"
"73","1"
"74","1"
"75","1"
"76","1"
"77","2"
"78","1"
"79","1"
"80","1"
"81","1"
"82","3"
"83","1"
"84","1"
"85","1"
"86","1"
"87","1"
"88","1"
"89","2"
"90","5"
"91","2"
"92","1"
"93","1"
"94","2"
"95","3"
"96","1"
"97","1"
"98","1"
"99","1"
"100","5"
"101","1"
"102","2"
"103","5"
"104","1"
"105","2"
"106","3"
"107","2"
"108","2"
"109","1"
"110","1"
"111","2"
"112","3"
"113","1"
"114","3"
"115","5"
"116","1"
"117","1"
"118","1"
"119","1"
"120","2"
"121","1"
"122","2"
"123","1"
"124","1"
"125","1"
"126","1"
"127","1"
"128","3"
"129","2"
"130","2"
"131","2"
"132","5"
"133","3"
"134","1"
"135","3"
"136","2"
"137","3"
"138","3"
"139","1"
"140","1"
"141","2"
"142","1"
"143","5"
"144","1"
"145","3"
"146","2"
"147","1"
"148","1"
"149","5"
"150","1"
"151","2"
"152","3"
"153","1"
"154","2"
"155","1"
"156","1"
"157","3"
"158","1"
"159","1"
"160","5"
"161","1"
"162","3"
"163","2"
"164","1"
"165","1"
"166","1"
"167","2"
"168","5"
"169","3"
"170","2"
"171","1"
"172","2"
"173","1"
"174","3"
"175","2"
"176","3"
"177","3"
"178","3"
"179","3"
"180","1"
"181","1"
"182","2"
"183","1"
"184","1"
"185","1"
"186","1"
"187","1"
"188","1"
"189","3"
"190","1"
"191","2"
"192","1"
"193","1"
"194","1"
"195","3"
"196","1"
"197","1"
"198","1"
"199","2"
"200","1"
"201","3"
"202","1"
"203","1"
"204","1"
"205","1"
"206","2"
"207","5"
"208","2"
"209","3"
"210","1"
"211","3"
"212","1"
"213","2"
"214","2"
"215","5"
"216","1"
"217","5"
"218","2"
"219","2"
"220","2"
"221","2"
"222","1"
"223","1"
"224","1"
"225","1"
"226","1"
"227","1"
"228","3"
"229","1"
"230","2"
"231","1"
"232","1"
"233","5"
"234","1"
"235","1"
"236","1"
"237","2"
"238","1"
"239","2"
"240","1"
"241","4"
"242","1"
"243","5"
"244","1"
"245","1"
"246","1"
"247","1"
"248","2"
"249","5"
"250","1"
"251","1"
"252","0"
"253","3"
"254","1"
"255","3"
"256","1"
"257","1"
"258","1"
"259","1"
"260","1"
"261","2"
"262","2"
"263","1"
"264","1"
"265","2"
"266","1"
"267","2"
"268","3"
"269","1"
"270","1"
"271","2"
"272","3"
"273","1"
"274","3"
"275","1"
"276","1"
"277","2"
"278","1"
"279","1"
"280","1"
"281","2"
"282","1"
"283","1"
"284","0"
"285","2"
"286","2"
"287","2"
"288","5"
"289","2"
"290","1"
"291","1"
"292","1"
"293","5"
"294","3"
"295","3"
"296","2"
"297","2"
"298","1"
"299","1"
"300","1"
"301","3"
"302","3"
"303","1"
"304","1"
"305","2"
"306","2"
"307","2"
"308","5"
"309","1"
"310","1"
"311","1"
"312","2"
"313","3"
"314","1"
"315","2"
"316","1"
"317","2"
"318","3"
"319","5"
"320","3"
"321","1"
"322","1"
"323","1"
"324","1"
"325","3"
"326","3"
"327","2"
"328","1"
"329","3"
"330","1"
"331","5"
"332","3"
"333","1"
"334","1"
"335","1"
"336","1"
"337","1"
"338","1"
"339","3"
"340","1"
"341","3"
"342","3"
"343","3"
"344","3"
"345","3"
"346","3"
"347","5"
"348","1"
"349","0"
"350","1"
"351","5"
"352","0"
"353","1"
"354","5"
"355","3"
"356","5"
"357","1"
"358","3"
"359","1"
"360","3"
"361","5"
"362","2"
"363","1"
"364","2"
"365","1"
"366","2"
"367","5"
"368","5"
"369","1"
"370","1"
"371","3"
"372","5"
"373","3"
"374","2"
"375","5"
"376","5"
"377","1"
"378","5"
"379","1"
"380","2"
"381","5"
"382","1"
"383","1"
"384","3"
"385","5"
"386","2"
"387","1"
"388","1"
"389","1"
"390","1"
"391","3"
"392","1"
"393","1"
"394","2"
"395","3"
"396","2"
"397","3"
"398","2"
"399","1"
"400","2"
"401","1"
"402","2"
"403","2"
"404","1"
"405","1"
"406","5"
"407","1"
"408","1"
"409","1"
"410","2"
"411","3"
"412","2"
"413","2"
"414","1"
"415","5"
"416","1"
"417","5"
"418","1"
"419","5"
"420","1"
"421","1"
"422","1"
"423","2"
"424","2"
"425","5"
"426","2"
"427","3"
"428","2"
"429","1"
"430","1"
"431","2"
"432","5"
"433","1"
"434","1"
"435","5"
"436","1"
"437","1"
"438","2"
"439","2"
"440","2"
"441","2"
"442","2"
"443","1"
"444","3"
"445","1"
"446","3"
"447","2"
"448","1"
"449","2"
"450","2"
"451","3"
"452","1"
"453","1"
"454","2"
"455","5"
"456","0"
"457","1"
"458","1"
"459","1"
"460","2"
"461","2"
"462","2"
"463","1"
"464","2"
"465","3"
"466","1"
"467","1"
"468","1"
"469","5"
"470","1"
"471","1"
"472","1"
"473","5"
"474","1"
"475","3"
"476","1"
"477","3"
"478","3"
"479","1"
"480","3"
"481","3"
"482","2"
"483","1"
"484","1"
"485","1"
"486","1"
"487","1"
"488","1"
"489","3"
"490","2"
"491","2"
"492","1"
"493","2"
"494","2"
"495","1"
"496","1"
"497","1"
"498","3"
"499","2"
"500","2"
"501","3"
"502","1"
"503","2"
"504","3"
"505","2"
"506","1"
"507","3"
"508","4"
"509","5"
"510","2"
"511","3"
"512","3"
"513","2"
"514","3"
"515","1"
"516","2"
"517","5"
"518","3"
"519","2"
"520","2"
"521","1"
"522","1"
"523","2"
"524","2"
"525","1"
"526","2"
"527","2"
"528","3"
"529","2"
"530","2"
"531","2"
"532","2"
"533","1"
"534","1"
"535","1"
"536","1"
"537","1"
"538","0"
"539","3"
