"SentenceNo","Score"
"0","1"
"1","1"
"2","3"
"3","1"
"4","3"
"5","1"
"6","2"
"7","3"
"8","3"
"9","2"
"10","1"
"11","2"
"12","1"
"13","2"
"14","5"
"15","3"
"16","5"
"17","1"
"18","3"
"19","1"
"20","1"
"21","3"
"22","3"
"23","1"
"24","1"
"25","1"
"26","5"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","1"
"33","3"
"34","3"
"35","3"
"36","5"
"37","3"
"38","3"
"39","1"
"40","3"
"41","1"
"42","5"
"43","3"
"44","5"
"45","3"
"46","3"
"47","1"
"48","4"
"49","3"
"50","3"
"51","3"
"52","5"
"53","0"
"54","5"
"55","2"
"56","2"
"57","5"
"58","1"
"59","1"
"60","1"
"61","2"
"62","1"
"63","1"
"64","3"
"65","1"
"66","1"
"67","3"
"68","1"
"69","3"
"70","2"
"71","1"
"72","5"
"73","1"
"74","3"
"75","1"
"76","3"
"77","3"
"78","2"
"79","2"
"80","1"
"81","1"
"82","1"
"83","1"
"84","1"
"85","5"
"86","1"
"87","1"
"88","1"
"89","1"
"90","1"
"91","3"
"92","1"
"93","1"
"94","3"
"95","5"
"96","1"
"97","1"
"98","1"
"99","1"
"100","2"
"101","2"
"102","2"
"103","5"
"104","3"
"105","1"
"106","2"
"107","2"
"108","1"
"109","2"
"110","2"
"111","2"
"112","1"
"113","1"
"114","1"
"115","2"
"116","2"
"117","1"
"118","3"
"119","1"
"120","1"
"121","2"
"122","1"
"123","1"
"124","1"
"125","1"
"126","1"
"127","1"
"128","1"
"129","1"
"130","3"
"131","3"
"132","3"
"133","1"
"134","1"
"135","1"
"136","3"
"137","3"
"138","1"
"139","1"
"140","0"
"141","1"
"142","1"
"143","1"
"144","1"
"145","1"
"146","5"
"147","1"
"148","2"
"149","5"
"150","1"
"151","1"
"152","1"
"153","1"
"154","3"
"155","1"
"156","1"
"157","1"
"158","5"
"159","3"
"160","1"
"161","3"
"162","1"
"163","2"
"164","1"
"165","2"
"166","3"
"167","2"
"168","1"
"169","2"
"170","2"
"171","1"
"172","1"
"173","1"
"174","5"
"175","1"
"176","2"
"177","2"
"178","1"
"179","3"
"180","2"
"181","1"
"182","1"
"183","1"
"184","1"
"185","2"
"186","1"
"187","2"
"188","2"
"189","2"
"190","1"
"191","1"
"192","3"
"193","1"
"194","1"
"195","2"
"196","2"
"197","1"
"198","3"
"199","2"
"200","2"
"201","2"
"202","0"
"203","1"
"204","5"
"205","3"
"206","1"
"207","1"
"208","5"
"209","1"
"210","1"
"211","3"
"212","1"
"213","2"
"214","1"
"215","1"
"216","1"
"217","2"
"218","3"
"219","5"
"220","1"
"221","2"
"222","1"
"223","1"
"224","2"
"225","2"
"226","3"
"227","2"
"228","2"
"229","1"
"230","1"
"231","0"
"232","1"
"233","1"
"234","1"
"235","1"
"236","1"
"237","1"
"238","1"
"239","1"
"240","2"
"241","1"
"242","1"
"243","2"
"244","3"
"245","2"
"246","1"
"247","5"
"248","2"
"249","2"
"250","4"
"251","1"
"252","3"
"253","1"
"254","3"
"255","2"
"256","1"
"257","1"
"258","3"
"259","2"
"260","2"
"261","2"
"262","3"
"263","2"
"264","1"
"265","3"
"266","2"
"267","3"
"268","1"
"269","1"
"270","1"
"271","1"
"272","1"
"273","2"
"274","2"
"275","1"
"276","1"
"277","1"
"278","2"
"279","2"
"280","2"
"281","2"
"282","2"
"283","3"
"284","1"
"285","1"
"286","3"
"287","3"
"288","2"
"289","1"
"290","1"
"291","1"
"292","1"
"293","1"
"294","1"
"295","3"
"296","1"
"297","1"
"298","5"
"299","1"
"300","5"
"301","2"
"302","5"
"303","1"
"304","1"
"305","2"
"306","3"
"307","1"
"308","1"
"309","1"
"310","3"
"311","3"
"312","2"
"313","2"
"314","3"
"315","2"
"316","3"
"317","3"
"318","1"
"319","3"
"320","3"
"321","2"
"322","1"
"323","1"
"324","3"
"325","5"
"326","2"
"327","1"
"328","1"
"329","1"
"330","1"
"331","1"
"332","5"
"333","1"
"334","3"
"335","5"
"336","1"
"337","3"
"338","2"
"339","2"
"340","3"
"341","3"
"342","1"
"343","3"
"344","1"
"345","5"
"346","2"
"347","2"
"348","5"
"349","1"
"350","5"
"351","3"
"352","1"
"353","5"
"354","3"
"355","5"
"356","3"
"357","5"
"358","3"
"359","1"
"360","3"
"361","2"
"362","2"
"363","5"
"364","2"
"365","5"
"366","3"
"367","1"
"368","1"
"369","3"
"370","1"
"371","3"
"372","2"
"373","3"
"374","1"
"375","2"
"376","2"
"377","2"
"378","2"
"379","2"
"380","2"
"381","5"
"382","1"
"383","5"
"384","1"
"385","5"
"386","1"
"387","5"
"388","1"
"389","3"
"390","1"
"391","3"
"392","5"
"393","1"
"394","1"
"395","5"
"396","1"
"397","1"
"398","3"
"399","3"
"400","1"
"401","2"
"402","1"
"403","5"
"404","1"
"405","2"
"406","3"
"407","1"
"408","1"
"409","1"
"410","3"
"411","1"
"412","1"
"413","1"
"414","1"
"415","5"
"416","3"
"417","2"
"418","3"
"419","2"
"420","3"
"421","2"
"422","1"
"423","1"
"424","1"
"425","3"
"426","1"
"427","1"
"428","3"
"429","1"
"430","3"
"431","1"
"432","2"
"433","1"
"434","1"
"435","5"
"436","1"
"437","1"
"438","5"
"439","1"
"440","5"
"441","3"
"442","2"
"443","1"
"444","5"
"445","3"
"446","2"
"447","1"
"448","1"
"449","1"
"450","5"
"451","2"
"452","1"
"453","2"
"454","1"
"455","2"
"456","1"
"457","2"
"458","3"
"459","5"
"460","2"
"461","1"
"462","5"
"463","1"
"464","2"
"465","3"
"466","1"
"467","1"
"468","2"
"469","2"
"470","1"
"471","5"
"472","1"
"473","2"
"474","2"
"475","1"
"476","1"
"477","1"
"478","2"
"479","3"
"480","3"
"481","2"
"482","5"
"483","1"
"484","5"
"485","1"
"486","1"
"487","2"
"488","3"
"489","2"
"490","2"
"491","2"
"492","2"
"493","5"
"494","1"
"495","2"
"496","1"
"497","1"
"498","1"
"499","5"
"500","2"
"501","2"
"502","1"
"503","1"
"504","1"
"505","1"
"506","1"
"507","1"
"508","2"
"509","1"
"510","0"
"511","2"
"512","2"
"513","3"
"514","2"
"515","2"
"516","1"
"517","1"
"518","1"
"519","3"
"520","1"
"521","2"
"522","3"
"523","2"
"524","3"
"525","1"
"526","3"
"527","2"
"528","1"
"529","5"
"530","3"
"531","3"
"532","0"
"533","0"
"534","5"
"535","1"
"536","2"
"537","1"
"538","3"
"539","3"
