Speaker,1,2,3,4,5,N,P
TRUMP,0.042232277526395176,0.18401206636500755,0.3514328808446455,0.26244343891402716,0.15987933634992457,22,0.42232277526395173
PAUL,0.03676470588235294,0.11397058823529412,0.2426470588235294,0.27941176470588236,0.3272058823529412,0.15073529411764705,0.6066176470588236
CARSON,0.051194539249146756,0.12627986348122866,0.2150170648464164,0.3174061433447099,0.2901023890784983,0.1774744027303754,0.6075085324232081
SANDERS,0.024077046548956663,0.10914927768860354,0.24719101123595505,0.26163723916532905,0.3579454253611557,0.1332263242375602,0.6195826645264848
FIORINA,0.01845018450184502,0.12177121771217712,0.22878228782287824,0.3025830258302583,0.3284132841328413,0.14022140221402213,0.6309963099630996
BUSH,0.024630541871921183,0.07635467980295567,0.2438423645320197,0.27586206896551724,0.3793103448275862,0.10098522167487685,0.6551724137931034
CRUZ,0.02320185614849188,0.10672853828306264,0.2111368909512761,0.27610208816705334,0.382830626450116,0.12993039443155452,0.6589327146171693
KASICH,0.01639344262295082,0.08852459016393442,0.21967213114754097,0.28524590163934427,0.3901639344262295,0.10491803278688525,0.6754098360655738
CHRISTIE,0.022082018927444796,0.10410094637223975,0.19242902208201892,0.3312302839116719,0.3501577287066246,0.12618296529968454,0.6813880126182965
O'MALLEY,0.014669926650366748,0.097799511002445,0.18581907090464547,0.2591687041564792,0.44254278728606355,0.11246943765281174,0.7017114914425427
CLINTON,0.02671118530884808,0.07345575959933222,0.19699499165275458,0.29716193656093487,0.4056761268781302,0.1001669449081803,0.7028380634390651
RUBIO,0.02242152466367713,0.10089686098654709,0.16143497757847533,0.2914798206278027,0.42376681614349776,0.12331838565022421,0.7152466367713004
