Speaker,VeryNegative,Negative,Neutral,Positive,VeryPositive,N,P
FIORINA,0.007380073800738007,0.07011070110701106,0.7712177121771218,0.11808118081180811,0.033210332103321034,0.07749077490774907,0.15129151291512916
PAUL,0.01838235294117647,0.029411764705882353,0.7977941176470589,0.13602941176470587,0.01838235294117647,0.04779411764705882,0.15441176470588233
CRUZ,0.002320185614849188,0.037122969837587005,0.8051044083526682,0.14153132250580047,0.013921113689095127,0.03944315545243619,0.1554524361948956
CARSON,0.0034129692832764505,0.05460750853242321,0.7542662116040956,0.17406143344709898,0.013651877133105802,0.05802047781569966,0.1877133105802048
SANDERS,0.004815409309791332,0.04975922953451043,0.7544141252006421,0.17656500802568217,0.014446227929373997,0.05457463884430176,0.19101123595505617
KASICH,0.01639344262295082,0.02622950819672131,0.7508196721311475,0.18032786885245902,0.02622950819672131,0.04262295081967213,0.20655737704918034
O'MALLEY,0.0024449877750611247,0.03667481662591687,0.7530562347188264,0.19315403422982885,0.014669926650366748,0.039119804400977995,0.2078239608801956
RUBIO,0.004484304932735426,0.053811659192825115,0.7309417040358744,0.1860986547085202,0.02466367713004484,0.05829596412556054,0.21076233183856502
TRUMP,0.012066365007541479,0.06033182503770739,0.7164404223227753,0.16440422322775264,0.04675716440422323,0.07239819004524888,0.21116138763197587
BUSH,0.012315270935960592,0.04433497536945813,0.7118226600985221,0.2019704433497537,0.029556650246305417,0.05665024630541872,0.2315270935960591
CHRISTIE,0.01892744479495268,0.031545741324921134,0.7034700315457413,0.22397476340694006,0.022082018927444796,0.050473186119873815,0.24605678233438485
CLINTON,0.005008347245409015,0.04006677796327212,0.6978297161936561,0.2303839732888147,0.02671118530884808,0.045075125208681135,0.25709515859766274
