Speaker,VeryNegative,Negative,Neutral,Positive,VeryPositive
(UNKNOWN),0,2,13,6,0
ANNOUNCER,0,1,2,1,6
AUDIENCE,0,2,0,0,0
BAIER,5,20,24,42,26
BAKER,3,5,21,20,13
BARTIROMO,1,10,47,81,39
BASH,2,9,32,29,30
BLITZER,7,16,50,50,42
BROWNLEE,1,1,1,0,1
BUSH,10,31,99,112,154
CARSON,15,37,63,93,85
CAVUTO,4,14,43,52,40
CHAFEE,3,6,10,13,16
CHRISTIE,7,33,61,105,111
CLINTON,16,44,118,178,243
COONEY,0,1,4,5,2
COOPER,9,30,77,72,56
CORDES,0,4,5,4,8
CRAMER,0,0,1,1,5
CRUZ,10,46,91,119,165
ClINTON,0,0,0,1,0
DICKERSON,4,11,45,34,32
Dickerson,0,0,0,1,0
EPPERSON,1,3,6,1,7
FIORINA,5,33,62,82,89
FRANCHESCA RAMSEY,0,1,1,0,1
FRANTA,0,1,0,1,0
HARMAN,0,0,0,1,1
HARWOOD,2,8,35,42,17
HEWITT,2,6,14,29,27
HOLT,1,11,60,43,28
HUCKABEE,4,23,41,50,41
"JOSH JACOB, COLLEGE STUDENT",0,1,0,1,1
KASICH,5,27,67,87,119
KELLY,1,13,28,27,29
LEMON,0,1,3,1,3
LEVESQUE,0,2,0,2,0
LOPEZ,1,2,2,4,2
MAJOR GARRETT,0,0,1,1,3
MALE,0,0,7,1,0
MCELVEEN,1,0,2,0,0
MILLER,1,0,1,0,0
MITCHELL,1,4,17,12,9
MODERATOR,0,0,1,0,1
MUIR,0,19,54,48,28
O'MALLEY,6,40,76,106,181
OBRADOVICH,1,1,2,4,3
PAUL,10,31,66,76,89
PERRY,0,2,0,0,2
QUESTION,0,5,1,1,6
QUICK,2,10,35,35,14
QUINTANILLA,5,14,34,34,15
RADDATZ,0,4,23,23,16
RUBIO,10,45,72,130,189
SANDERS,15,68,154,163,223
SANTELLI,1,1,2,3,2
TAPPER,14,42,92,119,85
TODD,0,0,2,1,4
TRUMP,28,122,233,174,106
UNIDENTIFIED FEMALE,0,3,3,1,2
UNIDENTIFIED MALE,0,5,10,5,2
WALKER,2,8,16,44,29
WALLACE,2,9,13,25,25
WEBB,1,10,14,9,29
WILKINS,0,0,0,1,0
