Speaker,VeryNegative,Negative,Neutral,Positive,VeryPositive
(UNKNOWN),0,7,11,3,0
ANNOUNCER,0,5,2,2,1
AUDIENCE,0,0,2,0,0
BAIER,0,54,40,12,11
BAKER,2,24,26,9,1
BARTIROMO,0,60,54,48,16
BASH,1,41,31,24,5
BLITZER,1,51,63,42,8
BROWNLEE,0,2,2,0,0
BUSH,10,200,86,54,56
CARSON,7,156,40,39,51
CAVUTO,2,56,58,20,17
CHAFEE,2,23,14,6,3
CHRISTIE,14,159,44,56,44
CLINTON,10,331,97,80,81
COONEY,0,6,5,1,0
COOPER,0,91,76,61,16
CORDES,0,7,7,7,0
CRAMER,0,3,2,2,0
CRUZ,16,224,82,43,66
ClINTON,0,1,0,0,0
DICKERSON,0,54,41,25,6
Dickerson,0,0,1,0,0
EPPERSON,0,10,2,6,0
FIORINA,3,135,62,41,30
FRANCHESCA RAMSEY,0,1,2,0,0
FRANTA,0,1,0,1,0
HARMAN,0,0,1,1,0
HARWOOD,1,40,37,24,2
HEWITT,1,35,18,19,5
HOLT,0,43,54,37,9
HUCKABEE,0,86,24,21,28
"JOSH JACOB, COLLEGE STUDENT",0,1,2,0,0
KASICH,7,164,51,50,33
KELLY,0,37,33,12,16
LEMON,0,4,4,0,0
LEVESQUE,0,3,1,0,0
LOPEZ,0,5,2,3,1
MAJOR GARRETT,0,4,0,1,0
MALE,0,0,4,3,1
MCELVEEN,0,1,1,1,0
MILLER,0,2,0,0,0
MITCHELL,0,18,19,6,0
MODERATOR,0,0,1,1,0
MUIR,0,49,32,52,16
O'MALLEY,7,217,60,81,44
OBRADOVICH,0,7,2,1,1
PAUL,5,142,61,27,37
PERRY,0,2,2,0,0
QUESTION,0,5,7,1,0
QUICK,1,34,34,24,3
QUINTANILLA,0,36,47,12,7
RADDATZ,1,29,21,12,3
RUBIO,7,265,45,57,72
SANDERS,13,296,122,88,104
SANTELLI,0,4,1,3,1
TAPPER,0,118,114,90,30
TODD,0,6,1,0,0
TRUMP,14,290,149,115,95
UNIDENTIFIED FEMALE,0,1,8,0,0
UNIDENTIFIED MALE,0,4,15,2,1
WALKER,3,49,16,14,17
WALLACE,2,28,22,7,15
WEBB,0,36,9,15,3
WILKINS,0,0,1,0,0
