Speaker,VeryNegative,Negative,Neutral,Positive,VeryPositive
(UNKNOWN),0,0,19,1,1
ANNOUNCER,0,1,9,0,0
AUDIENCE,0,0,2,0,0
BAIER,0,6,95,15,1
BAKER,0,1,55,6,0
BARTIROMO,1,5,145,27,0
BASH,0,3,81,18,0
BLITZER,0,3,138,22,2
BROWNLEE,0,1,3,0,0
BUSH,5,18,289,82,12
CARSON,1,16,221,51,4
CAVUTO,1,3,127,20,2
CHAFEE,0,0,39,6,3
CHRISTIE,6,10,223,71,7
CLINTON,3,24,418,138,16
COONEY,0,0,8,4,0
COOPER,0,3,206,29,6
CORDES,0,0,18,3,0
CRAMER,0,0,6,1,0
CRUZ,1,16,347,61,6
ClINTON,0,0,1,0,0
DICKERSON,0,4,89,32,1
Dickerson,0,0,1,0,0
EPPERSON,0,0,15,3,0
FIORINA,2,19,209,32,9
FRANCHESCA RAMSEY,0,0,1,1,1
FRANTA,0,0,1,1,0
HARMAN,0,0,2,0,0
HARWOOD,1,3,84,16,0
HEWITT,1,3,60,13,1
HOLT,0,2,121,20,0
HUCKABEE,1,6,121,22,9
"JOSH JACOB, COLLEGE STUDENT",0,0,2,1,0
KASICH,5,8,229,55,8
KELLY,3,1,76,18,0
LEMON,0,2,5,1,0
LEVESQUE,0,0,2,2,0
LOPEZ,0,0,10,1,0
MAJOR GARRETT,0,0,1,4,0
MALE,0,0,7,0,1
MCELVEEN,0,0,3,0,0
MILLER,0,0,2,0,0
MITCHELL,0,0,34,9,0
MODERATOR,0,0,1,1,0
MUIR,0,3,128,17,1
O'MALLEY,1,15,308,79,6
OBRADOVICH,0,1,10,0,0
PAUL,5,8,217,37,5
PERRY,0,0,4,0,0
QUESTION,0,0,12,1,0
QUICK,0,2,80,14,0
QUINTANILLA,3,5,82,11,1
RADDATZ,0,3,50,10,3
RUBIO,2,24,326,83,11
SANDERS,3,31,470,110,9
SANTELLI,0,0,7,2,0
TAPPER,2,11,305,33,1
TODD,0,1,6,0,0
TRUMP,8,40,475,109,31
UNIDENTIFIED FEMALE,0,0,6,3,0
UNIDENTIFIED MALE,0,0,17,2,3
WALKER,1,6,67,23,2
WALLACE,0,2,60,10,2
WEBB,0,2,51,8,2
WILKINS,0,0,1,0,0
