SentenceNo,SequenceNo,Speaker,Text
0,1,KELLY," Good evening, and welcome to the fabulous FOX Theatre in downtown Detroit, the site of the 11th Republican presidential debate of the 2016 campaign."
1,2,KELLY," I’m Megyn Kelly, along with my co-moderators, Bret Baier and Chris Wallace."
2,3,BAIER," 59 Republican delegates are at stake here in the state of Michigan during next Tuesday’s Republican primary, the biggest prize out of four states holding contests that day. For tonight’s debate we’re partnering with Facebook. The conversation about this election has been intense, as the crowd is here."
3,3,BAIER,"Since January 1st, 53 million people in the U.S. have been talking about the election on Facebook."
4,4,WALLACE," Tonight there are just four candidates on this stage. Their position has been determined by their standing in an average of the five most recent national polls as recognized by FOX News, and conducted and released by March 1st. Here they are."
5,4,WALLACE,(CHEERING) (APPLAUSE)
6,4,WALLACE,"Texas Senator, Ted Cruz."
7,4,WALLACE,(CHEERING) (APPLAUSE)
8,4,WALLACE,"Florida Senator, Marco Rubio."
9,4,WALLACE,(CHEERING) (APPLAUSE)
10,4,WALLACE,"And, Ohio Governor, John Kasich."
11,4,WALLACE,(CHEERING) (APPLAUSE)
12,5,KELLY," Tonight’s rules are simple. Up to 60 seconds for each answer, 30 seconds for each follow-up response, and if a candidate goes over the allotted time, you will hear this."
13,5,KELLY,(BELL RINGING)
14,6,BAIER, So pleasant.
15,7,KELLY, Really.
16,8,BAIER," We have a big crowd here, and while we expect the audience to be enthusiastic and responsive at times... (CHEERING) (APPLAUSE)"
17,9,BAIER," ... they may have already been — we also expect them to be respectful, and we want the candidates to get their full time. So, somewhere between a library and a Red Wings game."
18,9,BAIER,(LAUGHTER) (CHEERING)
19,10,BAIER, Am I right? Is that OK?
20,10,BAIER,Let’s get started.
21,11,WALLACE," Mr. Trump, as you may have heard, the 2012 Republican nominee for President, Mitt Romney, had some things to say about you today."
22,11,WALLACE,"He said your domestic policy will lead to recession, he’s said your foreign policy will make us less safe, and then he listed what he said are your personal qualities. Quoting now Romney on Trump, quote, “the bullying, the greed, the showing off, the misogyny, the absurd, third-grade theatrics”."
23,11,WALLACE,(CHEERING)
24,11,WALLACE,"He challenged you to answer with substance, not insults. How do you answer Mitt Romney, sir?"
25,12,TRUMP," Well look, he was a failed candidate, he should have beaten president Obama very easy."
26,12,TRUMP,"He failed miserably, and it was an embarrassment to everybody, including the Republican party. It looked like he went away on a vacation the last month. So, I don’t take that, and I guess, obviously, he wants to be relevant. He wants to be back in the game."
27,12,TRUMP,"As far as domestic policy and trade which is killing our country, he said free trade and I believe in free trade also. But, if you look at China, and you look Japan, and if you look at Mexico, both at the border, by the way, where they’re killing us."
28,12,TRUMP,"Both at the border, and with trade — and every other country we do business with we are getting absolutely crushed on trade. And, he said free trade, I say free trade great. But, not when they’re beating us so badly."
29,12,TRUMP,With China we’re going to lose $505 billion dollars in terms of trades. You just can’t do it.
30,12,TRUMP,"Mexico, $58 billion dollars."
31,12,TRUMP,"Japan, probably about, they don’t know it yet, but about $109 billion dollars."
32,12,TRUMP,"Every country we lose money with. As far as I’m concerned, we’ve got to reduce — we have to redo our trade deals 100 percent. I have the greatest business people in the world lined up to do it. We will make..."
33,12,TRUMP,(BELL RINGING)
34,13,TRUMP, ... great trade deals.
35,13,TRUMP,(CHEERING)
36,14,WALLACE," Mr. Trump, Romney also talked about your position on race, and the controversy over your failure to denounce David Duke on Sunday. You have repeatedly disavowed him since then, but I’d like to go deeper than that. What are your views on the Klu Klux Klan, and white supremacists?"
37,15,TRUMP," I totally disavow the Klu Klux Klan. I totally disavow David Duke. I’ve been doing it now for two weeks, this is your — you’re probably about the 18th person that’s asked me the question. It was very clear, that question was also talked about in the form of groups. Groups, I want to know which groups are you talking about? You have to tell me which groups?"
38,15,TRUMP,"Ultimately, he got to the Klu Klux Klan, which obviously I’m going to disavow. And, by the way, if you look on my Twitter account, almost immediately after the program they were disavowed again."
39,15,TRUMP,"You know, it’s amazing. When I do something on Twitter, everybody picks it up, goes all over the place. But, when I did this one nobody ever picks it up. Take a look at my Twitter account."
40,16,WALLACE," Thank you, sir."
41,17,TRUMP, Thank you. Thanks.(APPLAUSE)
42,18,BAIER," Senator Rubio, three weeks ago you said, quote: “I don’t do the personal attacks, primarily because it’s not who I am, because I think it’s beneath the office that I’m seeking but also because I don’t want to embarrass my kids.”"
43,18,BAIER,"But in the past week you’ve mocked Mr. Trump’s tan. You’ve made fun of his spelling. You called him a con artist. You suggested he wet himself backstage at the last debate, along with other vulgar jokes and jabs. So what happened?"
44,19,RUBIO," Yes, you know, Bret, let me say something. This campaign for the last year Donald Trump has basically mocked everybody with personal attacks. He has done so to people that are sitting on the stage today. He has done so about people that are disabled. He has done it about every candidate in this race."
45,19,RUBIO,"So if there is anyone who has ever deserved to be attacked that way, it has been Donald Trump, for the way he has treated people in the campaign."
46,19,RUBIO,"Now that said, I would much prefer to have a policy debate. I hope that’s what we will have here tonight. Let’s have a policy debate..."
47,20,TRUMP, And we will.
48,21,RUBIO, ... let’s talk about Donald Trump’s strategy and my strategy and Ted’s strategy and John Kasich’s strategy when it comes to ISIS. And on health care and on the important issues facing this country.
49,21,RUBIO,But let’s be honest too about all this. The media has given these personal attacks that Donald Trump has made an incredible amount of coverage. Let’s start talking again about the issues that matter to this country. I’m ready to do that starting right here right now tonight.
50,22,BAIER," Mr. Trump, your response?"
51,23,TRUMP," Well, I also happened to call him a lightweight, OK? And I have said that. So I would like to take that back. He is really not that much of a lightweight. And as far as — and I have to say this, I have to say this. He hit my hands. Nobody has ever hit my hands. I have never heard of this. Look at those hands. Are they small hands?"
52,23,TRUMP,(LAUGHTER)
53,24,TRUMP," And he referred to my hands, if they are small, something else must be small. I guarantee you there is no problem. I guarantee."
54,25,BAIER, OK. Moving on.
55,26,KELLY," OK, Senator Cruz, you say that you are the true conservative in this race. But 15 states have voted now, and you have won only four of them. You have lost repeatedly with what is supposed to be your core voter groups, including evangelicals and conservatives."
56,26,KELLY,Hasn’t your brand of conservatism been rejected by an electorate that appears to be more taken with Mr. Trump’s populist message?
57,27,CRUZ," Well, Megyn, you know, at the end of the day for the folks at home, this is not about the insults back and forth between the candidates. This is not about what attacks we can throw at each other. This is the people at home who are struggling through seven years of Barack Obama."
58,27,CRUZ,"This is the single moms who are working two and three jobs, 28, 29 hours a week because their hours have been forcibly reduced because of Obamacare. This is the truck drivers and the steel workers and the mechanics with calluses on their hands who have seen their wages not grow year after year after year while the cost of living goes up."
59,27,CRUZ,This is all the young people coming out of school with student loans up to their eyeballs that aren’t able to find a job.
60,27,CRUZ,"And I don’t think the people of America are interested in a bunch of bickering school children. They are interested in solutions, not slogans. It’s easy to say, make things better, make things great. You can even print it and put it on a baseball cap."
61,27,CRUZ,"But the question is, do you understand the principles that made America great in the first place? As president, I will repeal every word of Obamacare. I will pull back the regulators that are killing small businesses."
62,27,CRUZ,"And we will pass a simple flat tax and abolish the IRS. And what that’s going to do, Megyn, is small businesses are going to explode. We are going to see millions of high-paying jobs. We are going to see wages going up. We are going to see opportunity."
63,27,CRUZ,"That’s where our focus needs to be. That’s where my focus is. And that is why our campaign is the only campaign that over and over again has beaten Donald Trump to date, and it’s why we are the one campaign that going forward can and will beat Donald Trump in this election."
64,28,KELLY," Go ahead, Mr. Trump. TRUMP: I have heard Ted say that over and over again on television, that he is the only one that can beat me. Just, for the record, I have won 10. He has won three or four. Last week, in fact, on Tuesday, I was a half a million votes higher than him. I was a million votes higher than Marco, 1 million votes. That’s a lot of votes. And was by far in first place."
65,28,KELLY,"So I keep hearing that he is the only one that can beat me but he is getting beaten very, very badly. So where does this come from? Where does it come from?"
66,29,KELLY," Go ahead, Senator Rubio."
67,30,RUBIO," Yes, I would just say a couple of things. There is no doubt that Donald has done well in these elections. There is no doubt about that. The numbers are there."
