,SentenceNo,SequenceNo,Speaker,Text,Score,wc
4,4,2,KASICH,"Good question, but I want to tell you, my great concern is that we are on the verge, perhaps, of picking someone who cannot do this job.",1,27
5,5,2,KASICH,"I've watched to see people say that we should dismantle Medicare and Medicaid and leave the senior citizens out -- out in the -- in the cold. I've heard them talk about deporting 10 or 11 -- people here from this country out of this country, splitting families. I've heard about tax schemes that don't add up, that put our kids in -- in a deeper hole than they are today.",1,71
6,6,2,KASICH,"We need somebody who can lead. We need somebody who can balance budgets, cut taxes...",1,15
8,8,4,KASICH,"You know, frankly, I did it in Washington, in Ohio, and I will do it again in Washington, if I'm president, to get this country moving again.",0,27
10,10,6,HUCKABEE,"Well, John, I don't really have any weaknesses that I can think of.",1,13
11,11,6,HUCKABEE,(LAUGHTER),5,1
12,12,6,HUCKABEE,"But my wife is down here in the front, and I'm sure, if you'd like to talk to her later, she can give you more than you'll ever be able to take care of.",3,34
13,13,6,HUCKABEE,"If I have a weakness, it's that I try to live by the rules. I try to live by the rules, no matter what they are, and I was brought up that way as a kid. Play by the rules.",1,40
14,14,6,HUCKABEE,And I'll tell you what a weakness is of this country there are a lot of people who are sick and tired because Washington does not play by the same rules that the American people have to play by.,1,39
16,16,8,BUSH,"You know, I am by my nature impatient. And this is not an endeavor that rewards that. You gotta be patient. You gotta be -- stick with it, and all that.",1,31
17,17,8,BUSH,"But also, I can't fake anger. I believe this is still the most extraordinary country on the face of the Earth. And it troubles me that people are rewarded for tearing down our country. It's never been that way in American politics before.",4,43
18,18,9,BUSH,"I can't do it. I just don't believe that this country's days are going to be deeply -- you know, going down. I think we're on the verge of the greatest time, and I want to fix the things to let people rise up.",1,44
20,20,11,RUBIO,"Thank you for that question. I would begin by saying that I'm not sure it's a weakness, but I do believe that I share a sense of optimism for America's future that, today, is eroding from too many of our people.",1,41
21,21,11,RUBIO,I think there's a sense in this country today that somehow our best days are behind us. And that doesn't have to be true.,3,24
22,22,11,RUBIO,"Our greatest days lie ahead if we are willing to do what it takes now. If we're willing to do what it takes now, the 21st century is going to be the new American century, greater than any other era we've had in the history of this great nation.",3,49
24,24,13,TRUMP,"I think maybe my greatest weakness is that I trust people too much. I'm too trusting. And when they let me down, if they let me down, I never forgive. I find it very, very hard to forgive people that deceived me. So I don't know if you would call that a weakness, but my wife said ""let up.""",1,59
25,25,13,TRUMP,(LAUGHTER),5,1
27,27,15,CARSON,"Probably in terms of the applying for the job of president, a weakness would be not really seeing myself in that position until hundreds of thousands of people began to tell me that I needed to do it. I do, however, believe in Reagan's 11th commandment, and will not be engaging in awful things about my compatriots here.",1,58
28,28,15,CARSON,"And recognizing that it's so important, this election, because we're talking about America for the people versus America for the government.",1,21
30,30,17,FIORINA,"Well, gee, after the last debate, I was told that I didn't smile enough. (LAUGHTER)",5,15
32,32,19,FIORINA,"But I also think that these are very serious times; 75 percent of the American people think the federal government is corrupt. I agree with them. And this big powerful, corrupt bureaucracy works now only for the big, the powerful, the wealthy and the well-connected. Meantime, wages have stagnated for 40 years. We have more Americans out of work or just Americans who quit looking for work for 40 years.",1,70
33,33,19,FIORINA,Ours was intended to be a citizen government. This is about more than replacing a D with an R. We need a leader who will help us take our government back.,1,31
35,35,21,CRUZ,"I'm too agreeable, easy going.",1,5
36,36,21,CRUZ,(LAUGHTER),5,1
37,37,21,CRUZ,"You know, I think my biggest weakness is exactly the opposite. I'm a fighter. I am passionate about what I believe. I've been passionate my whole life about the Constitution. And, you know, for six-and-a-half years, we've had a gigantic party. If you want someone to grab a beer with, I may not be that guy. But if you want someone to drive you home, I will get the job done and I will get you home.",3,77
39,39,23,CHRISTIE,"I don't see a lot of weakness on this stage, quite frankly. Where I see the weakness is in those three people that are left on the Democratic stage. You know, I see a socialist, an isolationist and a pessimist. And for the sake of me, I can't figure out which one is which.",1,54
40,40,23,CHRISTIE,(LAUGHTER),5,1
41,41,23,CHRISTIE,"But I will -- but I will tell you this, the socialist says they're going to pay for everything and give you everything for free, except they don't say they're going to raise it through taxes to 90 percent to do it. The isolationist is the one who wants to continue to follow a foreign policy that has fewer democracies today than when Barack Obama came into office around the world.",1,71
42,42,23,CHRISTIE,"But I know who the pessimist is. It's Hillary Clinton. And you put me on that stage against her next September, she won't get within 10 miles of the White House. Take it to the bank.",1,36
44,44,25,PAUL,"You know, I left my medical practice and ran for office because I was concerned about an $18 trillion debt. We borrow a million dollars a minute. Now, on the floor of the Congress, the Washington establishment from both parties puts forward a bill that will explode the deficit. It allows President Obama to borrow unlimited amounts of money.",2,59
45,45,25,PAUL,I will stand firm. I will spend every ounce of energy to stop it. I will begin tomorrow to filibuster it. And I ask everyone in America to call Congress tomorrow and say enough is enough; no more debt.,1,39
49,49,28,TRUMP,Right.,2,1
51,51,30,TRUMP,Right.,2,1
53,53,32,TRUMP,That's right.,3,2
57,57,34,TRUMP,"No, not a comic book, and it's not a very nicely asked question the way you say that.",1,18
58,58,34,TRUMP,"Larry Kudlow is an example, who I have a lot of respect for, who loves my tax plan. We're reducing taxes to 15 percent. We're bringing corporate taxes down, bringing money back in, corporate inversions. We have $2.5 trillion outside of the United States which we want to bring back in.",3,51
59,59,34,TRUMP,"As far as the wall is concerned, we're going to build a wall. We're going to create a border. We're going to let people in, but they're going to come in legally. They're going to come in legally. And it's something that can be done, and I get questioned about that. They built the great wall of China. That's 13,000 miles. Here, we actually need 1,000 because we have natural barriers. So we need 1,000.",3,75
60,60,35,TRUMP,"We can do a wall. We're going to have a big, fat beautiful door right in the middle of the wall. We're going to have people come in, but they're coming in legally. And Mexico's going to pay for the wall because Mexico -- I love the Mexican people; I respect the Mexican leaders -- but the leaders are much sharper, smarter and more cunning than our leaders.",3,68
61,61,35,TRUMP,"And just to finish, people say, how will you get Mexico to pay? A politician other than the people in the states -- I don't want to -- a politician cannot get them to pay. I can. We lose, we have a trade imbalance...",1,44
62,62,35,TRUMP,"Excuse me, John.",2,3
63,63,35,TRUMP,... of $50 billion...,2,4
65,65,37,TRUMP,... believe me the world is peanuts by comparison.,2,9
69,69,40,TRUMP,Right. Dynamically.,2,2
71,71,42,TRUMP,"Then you have to get rid of Larry Kudlow, who sits on your panel, who's a great guy, who came out the other day and said, I love Trump's tax plan.",1,31
72,72,42,TRUMP,(CROSSTALK),2,1
80,80,46,CARSON,"Well, first of all, I didn't say that the rate would be 10 percent. I used the tithing analogy.",1,19
82,82,48,CARSON,The rate -- the rate -- the rate is gonna be much closer to 15 percent.,3,16
84,84,50,CARSON,You also have to get rid of all the deductions and all the loopholes. You also have to some strategically cutting in several places.,1,24
