SentenceNo,SequenceNo,Speaker,Text
0,1,QUINTANILLA,A lot to get to tonight. So let's get started. This first is an open question.
1,1,QUINTANILLA,"This series of debates is essentially a job interview with the American people. And in any job interview, you know this you get asked, ""what's your biggest weakness?"" So in 30 seconds, without telling us that you try too hard or that you're a perfectionist..."
2,1,QUINTANILLA,(LAUGHTER)
3,1,QUINTANILLA,"...what is your biggest weakness and what are you doing to address it? We'll go left to right. Governor Kasich, 30 seconds."
4,2,KASICH,"Good question, but I want to tell you, my great concern is that we are on the verge, perhaps, of picking someone who cannot do this job."
5,2,KASICH,"I've watched to see people say that we should dismantle Medicare and Medicaid and leave the senior citizens out -- out in the -- in the cold. I've heard them talk about deporting 10 or 11 -- people here from this country out of this country, splitting families. I've heard about tax schemes that don't add up, that put our kids in -- in a deeper hole than they are today."
6,2,KASICH,"We need somebody who can lead. We need somebody who can balance budgets, cut taxes..."
7,3,QUINTANILLA,Governor?
8,4,KASICH,"You know, frankly, I did it in Washington, in Ohio, and I will do it again in Washington, if I'm president, to get this country moving again."
9,5,QUINTANILLA,Governor Huckabee.
10,6,HUCKABEE,"Well, John, I don't really have any weaknesses that I can think of."
11,6,HUCKABEE,(LAUGHTER)
12,6,HUCKABEE,"But my wife is down here in the front, and I'm sure, if you'd like to talk to her later, she can give you more than you'll ever be able to take care of."
13,6,HUCKABEE,"If I have a weakness, it's that I try to live by the rules. I try to live by the rules, no matter what they are, and I was brought up that way as a kid. Play by the rules."
14,6,HUCKABEE,And I'll tell you what a weakness is of this country there are a lot of people who are sick and tired because Washington does not play by the same rules that the American people have to play by.
15,7,QUINTANILLA,"Thank you, Governor. Governor Bush."
16,8,BUSH,"You know, I am by my nature impatient. And this is not an endeavor that rewards that. You gotta be patient. You gotta be -- stick with it, and all that."
17,8,BUSH,"But also, I can't fake anger. I believe this is still the most extraordinary country on the face of the Earth. And it troubles me that people are rewarded for tearing down our country. It's never been that way in American politics before."
18,9,BUSH,"I can't do it. I just don't believe that this country's days are going to be deeply -- you know, going down. I think we're on the verge of the greatest time, and I want to fix the things to let people rise up."
19,10,QUINTANILLA,Senator Rubio.
20,11,RUBIO,"Thank you for that question. I would begin by saying that I'm not sure it's a weakness, but I do believe that I share a sense of optimism for America's future that, today, is eroding from too many of our people."
21,11,RUBIO,I think there's a sense in this country today that somehow our best days are behind us. And that doesn't have to be true.
22,11,RUBIO,"Our greatest days lie ahead if we are willing to do what it takes now. If we're willing to do what it takes now, the 21st century is going to be the new American century, greater than any other era we've had in the history of this great nation."
23,12,QUINTANILLA,Mr. Trump?
24,13,TRUMP,"I think maybe my greatest weakness is that I trust people too much. I'm too trusting. And when they let me down, if they let me down, I never forgive. I find it very, very hard to forgive people that deceived me. So I don't know if you would call that a weakness, but my wife said ""let up."""
25,13,TRUMP,(LAUGHTER)
26,14,QUINTANILLA,Dr. Carson?
