SentenceNo,SequenceNo,Speaker,Text,PolarityScore
0,1,COOPER,"There is certainly a lot of excitement in this room tonight, and no doubt around the country. We are back in the Wynn Resort in Las Vegas in the presidential battleground state of Nevada for the first Democratic debate of the 2016 campaign.",0.125
1,1,COOPER,"I'm Anderson Cooper. Thanks for joining us. We've already welcomed the candidates on stage. They are in place at their podiums. Before we dive into the issues, I want to quickly explain some of the groundrules tonight.",0.3333333333333333
2,1,COOPER,"As the moderator, I'll ask questions, followups and guide the discussion. I'll be joined in the questioning by CNN's Juan Carlos Lopez and Dana Bash, a well as Don Lemon who will share questions from Democrats around the country. Each candidate will get one minute to answer questions, and 30 seconds for followups and rebuttals. I'll give candidates time to respond if they have been singled out for criticism.",0.0
3,1,COOPER,Our viewers should know that we have lights that are visible to the candidates to warn them when their time is up.,0.0
4,1,COOPER,I want the candidates to be able to introduce themselves to our audience. Each candidate will have two minutes to introduce themselves.,0.5
5,1,COOPER,Let's begin with Governor Chafee.,0.0
6,1,COOPER,Governor?,0.0
7,2,CHAFEE,"Thank you, Anderson.",0.0
8,2,CHAFEE,"Thank you, CNN, and thank you Facebook for organizing this debate.",0.0
9,2,CHAFEE,"Not only will Americans be electing a new president next year, we also will be electing a world leader. Voters should assess the candidate's experience, character and vision for the future as they make this important decision.",0.2
10,2,CHAFEE,"I'm the only one running for president that has been a mayor, a United States senator, and a governor. As mayor, I brought labor peace to my city and kept taxes down. I was reelected three times. As a senator, I earned a reputation for courageous votes against the Bush-Cheney tax cuts the favored the wealthy, against the tragedy of the Iraq war, for environmental stewardship, for protection of our civil liberties. I served on the Foreign Relations Committee and I chaired the Middle East Subcommittee for four years.",0.65
11,2,CHAFEE,"As governor, I came in at the depths of the recession and we turned my state around. Rhode Island had the biggest drop of the unemployment rate over my four budgets of all but one state. It happens to be Nevada, where we're having this debate. I'm very proud that over my almost 30 years of public service, I have had no scandals. I've always been honest. I have the courage to take the long-term view, and I've shown good judgment. I have high ethical standards.",0.0
12,2,CHAFEE,"As we look to the future, I want to address the income inequality, close the gap between the haves and the have-nots. I want to address climate change, a real threat to our planet. And I believe in prosperity through peace. I want to end these wars.",0.0
13,2,CHAFEE,I look forward to the discussion ahead.,0.0
14,2,CHAFEE,Thank you (APPLAUSE),0.0
15,3,COOPER,"Thank you very much, Governor.",0.26
16,3,COOPER,(APPLAUSE),0.0
17,3,COOPER,"Senator Webb, you have two minutes.",0.0
18,4,WEBB,Thank you.,0.0
19,4,WEBB,"You know, people are disgusted with the way that money has corrupted our political process, intimidating incumbents and empowering Wall Street every day, the turnstile government that we see, and also the power of the financial sector in both parties.",-0.3333333333333333
20,5,WEBB,"They're looking for a leader who understands how the system works, who has not been coopted by it, and also has a proven record of accomplishing different things. I have a record of working across the political aisle. I've also spent more than half of my professional life away from politics in the independent world of being an author, a journalist, and a sole proprietor.",0.0
21,5,WEBB,"In government service, I've fought and bled for our country in Vietnam as a Marine. I spent years as Assistant Secretary of Defense, Secretary of the Navy -- in the Reagan administration.",-0.1
22,5,WEBB,"In the senate, I spoke about economic fairness and social justice from day one. I also wrote and passed the best piece of veterans education legislation in history, the Post 9/11 G.I. Bill. I brought criminal justice reform out of the political shadows and into the national discussion. I led what later became called the Strategic Pivot to Asia two years before President Obama was elected.",0.0
23,5,WEBB,I know where my loyalties are.,0.0
24,5,WEBB,"My mother grew up in the poverty of east Arkansas chopping cotton, picking strawberries. Three of her seven siblings died in childhood. My wife, Hong, came to this country as a refugee from war torn Vietnam -- learned English, a language that was not spoken at home, and earned her way into Cornell Law School. I have five daughters. Amy works with disabled veterans, Sarah is an emergency room nurse, Julia is a massage therapist, Emily and Georgia are still in school. My son Jim fought as an infantry Marine on the bloody streets of Ramadi.",0.0
25,5,WEBB,"You may be sure that in a Webb administration, the highest priority will be the working people who every day go out and make this country stronger at home, and who give us the right reputation and security overseas under a common sense foreign policy.",0.09017857142857143
26,5,WEBB,(CHEERING) (APPLAUSE),0.0
27,6,COOPER,"Governor O'Malley, you have two minutes.",0.0
28,7,O'MALLEY,"My name is Martin O'Malley, former Mayor of Baltimore, former governor of Maryland, a life long democrat, and most importantly, a husband, and a father.",0.17
29,7,O'MALLEY,"My wife Katie and I have four great kids, Grace, and Tara, and William and Jack. And, like you, there is nothing we wouldn't do to give them healthier and better lives. There are some things that I have learned to do better in life than others. And, after 15 years of executive experience, I have learned how to be an effective leader.",0.6
30,7,O'MALLEY,"Whether it was raising the minimum wage, making our public schools the best in America, passing marriage equality, the DREAM Act, and comprehensive gun safety legislation, I have learned how to get things done because I am very clear about my principals.",0.3766666666666667
31,7,O'MALLEY,"Thanks to President Obama, our country has come a long way since the Wall Street crash of 2008. Our country's doing better, we are creating jobs again. But we elected a president, not a magician, and there is urgent work that needs to be done right now. For there is a -- deep injustice, an economic injustice that threatens to tear our country apart, and it will not solve itself. Injustice does not solve itself.",0.1
32,7,O'MALLEY,"What I'm talking about is this, our middle class is shrinking. Our poor families are becoming poorer, and 70 percent of us are earning the same, or less than we were 12 years ago. We need new leadership, and we need action. The sort of action that will actually make wages go up again for all American families.",-0.029166666666666667
33,7,O'MALLEY,"Our economy isn't money, it's people. It's all of our people, and so we must invest in our country, and the potential of our kids to make college a debt free option for all of our families, instead of settling our kids with a lifetime of crushing debt.",0.26666666666666666
34,7,O'MALLEY,"And, we must square our shoulders to the great challenge of climate change and make this threat our opportunity. The future is what we make of it. We are all in this together. And, the question in this election is whether you and I still have the ability to give our kids a better future. I believe we do, that is why I am running for president, and I need your help.",0.8
35,7,O'MALLEY,Thank you.,0.0
36,7,O'MALLEY,(APPLAUSE),0.0
37,8,COOPER,"Governor O'Malley, thank you very much. Senator Sanders.",0.26
38,9,SANDERS,"Anderson, thank you very much. I think most Americans understand that our country today faces a series of unprecedented crises. The middle class of this country for the last 40 years has been disappearing. Millions of Americans are working longer hours for lower wages, and yet almost all of the new income and wealth being created is going to the top one percent.",0.3181818181818182
39,9,SANDERS,"As a result of this disastrous Citizens United Supreme Court decision, our campaign finance system is corrupt and is undermining American democracy. Millionaires and billionaires are pouring unbelievable sums of money into the political process in order to fund super PACs and to elect candidates who represent their interests, not the interests of working people.",0.22083333333333333
40,9,SANDERS,"Today, the scientific community is virtually unanimous. climate change is real, it is caused by human activity, and we have a moral responsibility to transform our energy system away from fossil fuel to energy efficiency and sustainable energy and leave this planet a habitable planet for our children and our grandchildren.",0.06666666666666667
41,9,SANDERS,"Today in America, we have more people in jail than any other country on Earth. African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent. It seems to me that instead of building more jails and providing more incarceration, maybe -- just maybe -- we should be putting money into education and jobs for our kids.",0.5
42,9,SANDERS,(APPLAUSE),0.0
43,9,SANDERS,What this campaign is about is whether we can mobilize our people to take back our government from a handful of billionaires and create the vibrant democracy we know we can and should have. Thank you.,0.08333333333333333
44,9,SANDERS,(APPLAUSE),0.0
45,10,COOPER,Secretary Clinton?,0.0
46,11,CLINTON,"Well, thank you, and thanks to everyone for hosting this first of the Democratic debates.",0.225
47,11,CLINTON,"I'm Hillary Clinton. I have been proud and privileged to serve as first lady, as a senator from New York, and as secretary of state. I'm the granddaughter of a factory worker and the grandmother of a wonderful one-year-old child. And every day, I think about what we need to do to make sure that opportunity is available not just for her, but for all of our children. I have spent a very long time -- my entire adult life -- looking for ways to even the odds to help people have a chance to get ahead, and, in particular, to find the ways for each child to live up to his or her God-given potential.",0.034004329004329
48,11,CLINTON,"I've traveled across our country over the last months listening and learning, and I've put forward specific plans about how we're going to create more good-paying jobs by investing in infrastructure and clean energy, by making it possible once again to invest in science and research, and taking the opportunity posed by climate change to grow our economy.",0.17333333333333334
49,11,CLINTON,"At the center of my campaign is how we're going to raise wages. Yes, of course, raise the minimum wage, but we have to do so much more, including finding ways so that companies share profits with the workers who helped to make them.",0.5
50,11,CLINTON,"And then we have to figure out how we're going to make the tax system a fairer one. Right now, the wealthy pay too little and the middle class pays too much. So I have specific recommendations about how we're going to close those loopholes, make it clear that the wealthy will have to pay their fair share, and have a series of tax cuts for middle-class families.",0.32499999999999996
51,11,CLINTON,"And I want to do more to help us balance family and work. I believe in equal pay for equal work for women, but I also believe it's about time we had paid family leave for American families and join the rest of the world.",0.0
52,11,CLINTON,(APPLAUSE),0.0
53,11,CLINTON,"During the course of the evening tonight, I'll have a chance to lay out all of my plans and the work that I've done behind them. But for me, this is about bringing our country together again. And I will do everything I can to heal the divides -- the divides economically, because there's too much inequality; the racial divides; the continuing discrimination against the LGBT community -- so that we work together and, yes, finally, fathers will be able to say to their daughters, you, too, can grow up to be president.",0.25
54,11,CLINTON,(APPLAUSE),0.0
55,12,COOPER,"Thank you, all. It is time to start the debate.",0.0
56,13,COOPER,Are you all ready?,0.2
57,13,COOPER,(APPLAUSE),0.0
58,13,COOPER,"All right. Let's begin. We're going to be discussing a lot of the issues, many of the issues, important issues that you have brought up. But I want to begin with concerns that voters have about each of the candidates here on this stage that they have about each of you.",0.0
59,13,COOPER,"Secretary Clinton, I want to start with you. Plenty of politicians evolve on issues, but even some Democrats believe you change your positions based on political expediency.",0.0
60,13,COOPER,"You were against same-sex marriage. Now you're for it. You defended President Obama's immigration policies. Now you say they're too harsh. You supported his trade deal dozen of times. You even called it the ""gold standard"". Now, suddenly, last week, you're against it.",0.0
61,13,COOPER,Will you say anything to get elected?,0.0
62,14,CLINTON,"Well, actually, I have been very consistent. Over the course of my entire life, I have always fought for the same values and principles, but, like most human beings -- including those of us who run for office -- I do absorb new information. I do look at what's happening in the world.",0.12727272727272726
63,14,CLINTON,"You know, take the trade deal. I did say, when I was secretary of state, three years ago, that I hoped it would be the gold standard. It was just finally negotiated last week, and in looking at it, it didn't meet my standards. My standards for more new, good jobs for Americans, for raising wages for Americans.",0.0
64,14,CLINTON,"And I want to make sure that I can look into the eyes of any middle-class American and say, ""this will help raise your wages."" And I concluded I could not.",0.25
65,15,COOPER,"Secretary Clinton, though, with all due respect, the question is really about political expediency. Just in July, New Hampshire, you told the crowd you'd, quote, ""take a back seat to no one when it comes to progressive values.""",0.06818181818181818
66,15,COOPER,"Last month in Ohio, you said you plead guilty to, quote, ""being kind of moderate and center."" Do you change your political identity based on who you're talking to?",-5.551115123125783e-18
67,16,CLINTON,"No. I think that, like most people that I know, I have a range of views, but they are rooted in my values and my experience. And I don't take a back seat to anyone when it comes to progressive experience and progressive commitment.",0.5
68,16,CLINTON,"You know, when I left law school, my first job was with the Children's Defense Fund, and for all the years since, I have been focused on how we're going to un-stack the deck, and how we're gonna make it possible for more people to have the experience I had.",0.1875
69,16,CLINTON,"You know, to be able to come from a grandfather who was a factory worker, a father who was a small business person, and now asking the people of America to elect me president.",0.35000000000000003
70,17,COOPER,"Just for the record, are you a progressive, or are you a moderate?",0.0
71,18,CLINTON,I'm a progressive. But I'm a progressive who likes to get things done. And I know...,0.0
72,18,CLINTON,(APPLAUSE),0.0
73,18,CLINTON,"...how to find common ground, and I know how to stand my ground, and I have proved that in every position that I've had, even dealing with Republicans who never had a good word to say about me, honestly. But we found ways to work together on everything from...",0.3333333333333333
74,19,COOPER,Secretary...,0.0
75,20,CLINTON,"...reforming foster care and adoption to the Children's Health Insurance Program, which insures...",0.0
76,21,COOPER,...thank you...,0.0
77,22,CLINTON,"...8 million kids. So I have a long history of getting things done, rooted in the same values...",-0.025
78,23,COOPER,...Senator...,0.0
79,24,CLINTON,...I've always had.,0.0
80,25,COOPER,Senator Sanders. A Gallup poll says half the country would not put a socialist in the White House. You call yourself a democratic socialist. How can any kind of socialist win a general election in the United States?,-0.08333333333333333
81,26,SANDERS,"Well, we're gonna win because first, we're gonna explain what democratic socialism is.",0.525
82,26,SANDERS,"And what democratic socialism is about is saying that it is immoral and wrong that the top one-tenth of 1 percent in this country own almost 90 percent -- almost -- own almost as much wealth as the bottom 90 percent. That it is wrong, today, in a rigged economy, that 57 percent of all new income is going to the top 1 percent.",0.27999999999999997
83,26,SANDERS,"That when you look around the world, you see every other major country providing health care to all people as a right, except the United States. You see every other major country saying to moms that, when you have a baby, we're not gonna separate you from your newborn baby, because we are going to have -- we are gonna have medical and family paid leave, like every other country on Earth.",-0.046875
84,26,SANDERS,"Those are some of the principles that I believe in, and I think we should look to countries like Denmark, like Sweden and Norway, and learn from what they have accomplished for their working people.",0.2
85,26,SANDERS,(APPLAUSE),0.0
86,27,COOPER,"Denmark is a country that has a population -- Denmark is a country that has a population of 5.6 million people. The question is really about electability here, and that's what I'm trying to get at.",0.0
87,27,COOPER,"You -- the -- the Republican attack ad against you in a general election -- it writes itself. You supported the Sandinistas in Nicaragua. You honeymooned in the Soviet Union. And just this weekend, you said you're not a capitalist.",0.05000000000000002
88,27,COOPER,Doesn't -- doesn't that ad write itself?,0.0
89,28,SANDERS,"Well, first of all, let's look at the facts. The facts that are very simple. Republicans win when there is a low voter turnout, and that is what happened last November.",0.26666666666666666
