SentenceNo,SequenceNo,Speaker,Text,PolarityScore
0,1,KELLY,"Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio.",0.3954545454545455
1,1,KELLY,I'm Megyn Kelly...,0.0
2,1,KELLY,(APPLAUSE),0.0
3,1,KELLY,"... along with my co-moderators, Brett Baier and Chris Wallace.",0.0
4,1,KELLY,Tonight...,0.0
5,1,KELLY,(APPLAUSE),0.0
6,1,KELLY,Nice.,0.6
7,1,KELLY,"Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered.",0.325
8,2,BAIER,"Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party's nomination.",-0.04444444444444443
9,2,BAIER,(APPLAUSE),0.0
10,2,BAIER,"Tonight's candidates were selected based on an average of five national polls. Just a few hours ago, you heard from the candidates ranked 11th through 17. And now, the prime-time event, the top 10.",-0.15
11,3,WALLACE,"Also of note, Fox News is partnering for tonight's debate with Facebook. For the past several weeks, we've been asking you for questions for the candidates on Facebook. Nearly 6 million of you, 6 million, viewed the debate videos on our site, and more than 40,000 of you submitted questions: some of which you will hear us asking the candidates tonight.",0.3
12,4,KELLY,As for the candidates who will be answering those questions? Here they are.,0.0
13,4,KELLY,"Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump.",-0.1
14,4,KELLY,(APPLAUSE),0.0
15,4,KELLY,Former Florida Governor Jeb Bush.,0.0
16,4,KELLY,(APPLAUSE),0.0
17,4,KELLY,Wisconsin Governor Scott Walker.,0.0
18,4,KELLY,(APPLAUSE),0.0
19,4,KELLY,Former Arkansas Governor Mike Huckabee.,0.0
20,4,KELLY,(APPLAUSE),0.0
21,5,BAIER,"Neurosurgeon, Dr. Ben Carson.",0.0
22,5,BAIER,(APPLAUSE),0.0
23,5,BAIER,Texas Senator Ted Cruz.,0.0
24,5,BAIER,(APPLAUSE),0.0
25,5,BAIER,Florida Senator Marco Rubio.,0.0
26,5,BAIER,(APPLAUSE),0.0
27,6,WALLACE,Kentucky Senator Rand Paul.,0.0
28,6,WALLACE,(APPLAUSE),0.0
29,6,WALLACE,New Jersey Governor Chris Christie.,0.13636363636363635
30,6,WALLACE,(APPLAUSE) And your very own governor of Ohio...,0.78
31,6,WALLACE,(APPLAUSE),0.0
32,6,WALLACE,... John Kasich.,0.0
33,6,WALLACE,(APPLAUSE),0.0
34,7,WALLACE,"Brett -- Brett, I think you would call that a home field advantage.",0.0
35,8,BAIER,It might be. It might be. We'll see.,0.0
36,9,(UNKNOWN),Is this in the rules? An objection's coming.,0.0
37,10,BAIER,"It might be. The rules for tonight are simple. One minute for answers, 30 seconds for follow-ups. And if a candidate runs over, you'll hear this.",0.0
38,10,BAIER,"Pleasant, no?",0.7333333333333333
39,10,BAIER,"We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned.",0.0
40,10,BAIER,And while we expect them...,0.0
41,10,BAIER,(APPLAUSE),0.0
42,10,BAIER,"... we expect them to be enthusiastic, as you heard, we don't want to take anything away from the valuable time for the candidate. So, we're looking for somewhere between a reaction to a LeBron James dunk and the Cleveland Public Library across the street.",0.6
43,10,BAIER,(LAUGHTER),0.0
44,10,BAIER,"Somewhere there, we'll find a balance tonight.",0.0
45,10,BAIER,"Without further ado, let's begin.",0.0
46,11,BAIER,"Gentlemen, we know how much you love hand-raising questions. So we promise, this is the only one tonight: the only one. Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person.",0.0
47,11,BAIER,"Again, we're looking for you to raise your hand now -- raise your hand now if you won't make that pledge tonight.",0.0
48,11,BAIER,Mr. Trump.,0.0
49,11,BAIER,(BOOING),0.0
50,11,BAIER,"Mr. Trump to be clear, you're standing on a Republican primary debate stage.",0.25
51,12,TRUMP,I fully understand.,0.0
52,13,BAIER,The place where the RNC will give the nominee the nod.,0.0
53,14,TRUMP,I fully understand.,0.0
54,15,BAIER,And that experts say an independent run would almost certainly hand the race over to Democrats and likely another Clinton.,0.07142857142857142
55,15,BAIER,You can't say tonight that you can make that pledge?,0.0
56,16,TRUMP,"I cannot say. I have to respect the person that, if it's not me, the person that wins, if I do win, and I'm leading by quite a bit, that's what I want to do. I can totally make that pledge. If I'm the nominee, I will pledge I will not run as an independent. But -- and I am discussing it with everybody, but I'm, you know, talking about a lot of leverage. We want to win, and we will win. But I want to win as the Republican. I want to run as the Republican nominee.",0.55
57,17,BAIER,"So tonight, you can't say if another one of these...",0.0
58,18,PAUL,This is what's wrong!,-0.625
59,19,BAIER,OK.,0.5
60,20,PAUL,"I mean, this is what's wrong. He buys and sells politicians of all stripes, he's already...",0.0
61,21,BAIER,Dr. Paul.,0.0
62,22,PAUL,"Hey, look, look! He's already hedging his bet on the Clintons, OK? So if he doesn't run as a Republican, maybe he supports Clinton, or maybe he runs as an independent...",0.0
63,23,BAIER,OK.,0.5
64,24,PAUL,...but I'd say that he's already hedging his bets because he's used to buying politicians.,0.0
65,25,TRUMP,"Well, I've given him plenty of money.",0.0
66,26,BAIER,"Just to be clear, you can't make a -- we're gonna -- we're going to move on.",0.10000000000000002
67,26,BAIER,You're not gonna make the pledge tonight?,0.0
68,27,TRUMP,I will not make the pledge at this time.,0.0
69,28,BAIER,OK. Alright.,0.5
70,28,BAIER,"(LAUGHTER, BOOING)",0.0
71,29,KELLY,"Gentlemen, our first round of questions is on the subject of electability in the general election, and we start tonight with you, Dr. Carson.",-0.016666666666666663
72,29,KELLY,"You are a successful neurosurgeon, but you admit that you have had to study up on foreign policy, saying there's a lot to learn.",0.3125
73,29,KELLY,"Your critics say that your inexperience shows. You've suggested that the Baltic States are not a part of NATO, just months ago you were unfamiliar with the major political parties and government in Israel, and domestically, you thought Alan Greenspan had been treasury secretary instead of federal reserve chair.",0.03125
74,29,KELLY,"Aren't these basic mistakes, and don't they raise legitimate questions about whether you are ready to be president?",0.1
75,30,CARSON,"Well, I could take issue with -- with all of those things, but we don't have time.",0.0
76,30,CARSON,"But I will say, we have a debate here tonight, and we will have an opportunity to explore those areas, and I'm looking very much forward to demonstrating that, in fact, the thing that is probably most important is having a brain, and to be able to figure things out and learn things very rapidly.",0.372
77,30,CARSON,"So, you know, experience comes from a large number of different arenas, and America became a great nation early on not because it was flooded with politicians, but because it was flooded with people who understood the value of personal responsibility, hard work, creativity, innovation, and that's what will get us on the right track now, as well.",0.15833333333333335
78,31,WALLACE,"Senator Rubio, when Jeb Bush announced his candidacy for presidency, he said this: ""There's no passing off responsibility when you're a governor, no blending into the legislative crowd.""",0.0
79,31,WALLACE,"Could you please address Governor Bush across the stage here, and explain to him why you, someone who has never held executive office, are better prepared to be president than he is, a man who you say did a great job running your state of Florida for eight years.",0.65
80,32,RUBIO,"Well, thank you for the question, Chris, and it's great to be here tonight. Let me begin by saying this: I'm not new to the political process; I was making a contribution as the speaker of the third largest and most diverse state in the country well before I even got into the Senate.",0.10795454545454546
81,32,RUBIO,"I would add to that that this election cannot be a resume competition. It's important to be qualified, but if this election is a resume competition, then Hillary Clinton's gonna be the next president, because she's been in office and in government longer than anybody else running here tonight.",0.2
82,32,RUBIO,"Here's what this election better be about This election better be about the future, not the past. It better be about the issues our nation and the world is facing today, not simply the issues we once faced.",0.25
83,32,RUBIO,"This country is facing an economy that has been radically transformed. You know, the largest retailer in the country and the world today, Amazon, doesn't even own a single store? And these changes have been disruptive. They have changed people's lives. The jobs that once sustained our middle class, they either don't pay enough or they are gone, and we need someone that understands that as our nominee.",0.0
84,32,RUBIO,"If I'm our nominee, how is Hillary Clinton gonna lecture me about living paycheck to paycheck? I was raised paycheck to paycheck. How is she -- how is she gonna lecture me -- how is she gonna lecture me about student loans? I owed over $100,000 just four years ago.",0.0
85,32,RUBIO,"If I'm our nominee, we will be the party of the future.",0.0
86,32,RUBIO,(APPLAUSE),0.0
87,33,BAIER,"Governor Bush, you have insisted that you're your own man. You say you have a life experience uniquely your own. Not your father's, not your brother's.",0.6
88,33,BAIER,"But there are several opponents on this stage who get big- applause lines in early voting states with this line quote, ""the last thing the country needs is another Bush in the Oval Office.""",0.025
89,33,BAIER,So do you understand the real concern in this country about dynastic politics?,0.2
90,34,BUSH,"Absolutely, I do, and I'm gonna run hard, run with heart, and run to win.",0.23611111111111113
91,34,BUSH,I'm gonna have to earn this. Maybe the barrier -- the bar's even higher for me. That's fine.,0.25
92,34,BUSH,"I've got a record in Florida. I'm proud of my dad, and I'm certainly proud of my brother. In Florida, they called me Jeb, because I earned it.",0.8
93,34,BUSH,"I cut taxes every year, totaling $19 billion. We were -- we had -- we balanced every budget. We went from $1 billion of reserves to $9 billion of reserves.",0.0
94,34,BUSH,We were one of two states that went to AAA bond rating.,0.0
95,35,BUSH,"They keep -- they called me Veto Corleone. Because I vetoed 2,500 separate line-items in the budget.",0.0
96,35,BUSH,(APPLAUSE),0.0
97,35,BUSH,"I am my own man. I governed as a conservative, and I govern effectively. And the net effect was, during my eight years, 1.3 million jobs were created. We left the state better off because I applied conservative principles in a purple state the right way, and people rose up.",0.3464285714285714
98,35,BUSH,(APPLAUSE),0.0
99,36,KELLY,"Mr. Trump, one of the things people love about you is you speak your mind and you don't use a politician's filter. However, that is not without its downsides, in particular, when it comes to women.",0.5
100,36,KELLY,"You've called women you don't like ""fat pigs, dogs, slobs, and disgusting animals.""",-1.0
101,36,KELLY,(LAUGHTER),0.0
102,36,KELLY,Your Twitter account...,0.0
103,37,TRUMP,Only Rosie O'Donnell.,0.0
104,37,TRUMP,(LAUGHTER),0.0
105,38,KELLY,"No, it wasn't.",0.0
106,38,KELLY,(APPLAUSE),0.0
107,38,KELLY,Your Twitter account...,0.0
108,38,KELLY,(APPLAUSE),0.0
109,39,TRUMP,Thank you.,0.0
110,40,KELLY,"For the record, it was well beyond Rosie O'Donnell.",0.0
111,41,TRUMP,"Yes, I'm sure it was.",0.5
112,42,KELLY,"Your Twitter account has several disparaging comments about women's looks. You once told a contestant on Celebrity Apprentice it would be a pretty picture to see her on her knees. Does that sound to you like the temperament of a man we should elect as president, and how will you answer the charge from Hillary Clinton, who was likely to be the Democratic nominee, that you are part of the war on women?",0.4000000000000001
113,43,TRUMP,I think the big problem this country has is being politically correct.,0.0
114,43,TRUMP,(APPLAUSE),0.0
115,43,TRUMP,"I've been challenged by so many people, and I don't frankly have time for total political correctness. And to be honest with you, this country doesn't have time either. This country is in big trouble. We don't win anymore. We lose to China. We lose to Mexico both in trade and at the border. We lose to everybody.",0.16666666666666666
116,43,TRUMP,"And frankly, what I say, and oftentimes it's fun, it's kidding. We have a good time. What I say is what I say. And honestly Megyn, if you don't like it, I'm sorry. I've been very nice to you, although I could probably maybe not be, based on the way you have treated me. But I wouldn't do that.",0.78
117,43,TRUMP,(APPLAUSE),0.0
118,43,TRUMP,"But you know what, we -- we need strength, we need energy, we need quickness and we need brain in this country to turn it around. That, I can tell you right now.",0.0
119,44,WALLACE,"Senator Cruz, your colleague, Senator Paul, right there next to you, said a few months ago he agrees with you on a number of issues, but he says you do nothing to grow the party. He says you feed red meat to the base, but you don't reach out to minorities. You have a toxic relationship with GOP leaders in Congress. You even called the Republican Senate Leader Mitch McConnell a liar recently.",0.028571428571428564
120,44,WALLACE,(APPLAUSE),0.0
121,44,WALLACE,How can you win in 2016 when you're such a divisive figure?,0.4
122,45,CRUZ,"Chris, I believe the American people are looking for someone to speak the truth.",0.0
123,45,CRUZ,(APPLAUSE),0.0
124,45,CRUZ,"If you're looking for someone to go to Washington, to go along to get along, to get -- to agree with the career politicians in both parties who get in bed with the lobbyists and special interests, then I ain't your guy.",0.35714285714285715
125,45,CRUZ,There is a reason...,0.0
126,45,CRUZ,(APPLAUSE),0.0
