SentenceNo,SequenceNo,Speaker,Text,PolarityScore,Type
0,1,KELLY,"Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio.",0.3954545454545455,rep1
1,1,KELLY,I'm Megyn Kelly...,0.0,rep1
2,1,KELLY,(APPLAUSE),0.0,rep1
3,1,KELLY,"... along with my co-moderators, Brett Baier and Chris Wallace.",0.0,rep1
4,1,KELLY,Tonight...,0.0,rep1
5,1,KELLY,(APPLAUSE),0.0,rep1
6,1,KELLY,Nice.,0.6,rep1
7,1,KELLY,"Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered.",0.325,rep1
8,2,BAIER,"Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party's nomination.",-0.04444444444444443,rep1
9,2,BAIER,(APPLAUSE),0.0,rep1
10,2,BAIER,"Tonight's candidates were selected based on an average of five national polls. Just a few hours ago, you heard from the candidates ranked 11th through 17. And now, the prime-time event, the top 10.",-0.15,rep1
11,3,WALLACE,"Also of note, Fox News is partnering for tonight's debate with Facebook. For the past several weeks, we've been asking you for questions for the candidates on Facebook. Nearly 6 million of you, 6 million, viewed the debate videos on our site, and more than 40,000 of you submitted questions: some of which you will hear us asking the candidates tonight.",0.3,rep1
12,4,KELLY,As for the candidates who will be answering those questions? Here they are.,0.0,rep1
13,4,KELLY,"Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump.",-0.1,rep1
14,4,KELLY,(APPLAUSE),0.0,rep1
15,4,KELLY,Former Florida Governor Jeb Bush.,0.0,rep1
16,4,KELLY,(APPLAUSE),0.0,rep1
17,4,KELLY,Wisconsin Governor Scott Walker.,0.0,rep1
18,4,KELLY,(APPLAUSE),0.0,rep1
19,4,KELLY,Former Arkansas Governor Mike Huckabee.,0.0,rep1
20,4,KELLY,(APPLAUSE),0.0,rep1
21,5,BAIER,"Neurosurgeon, Dr. Ben Carson.",0.0,rep1
22,5,BAIER,(APPLAUSE),0.0,rep1
23,5,BAIER,Texas Senator Ted Cruz.,0.0,rep1
24,5,BAIER,(APPLAUSE),0.0,rep1
25,5,BAIER,Florida Senator Marco Rubio.,0.0,rep1
26,5,BAIER,(APPLAUSE),0.0,rep1
27,6,WALLACE,Kentucky Senator Rand Paul.,0.0,rep1
28,6,WALLACE,(APPLAUSE),0.0,rep1
